模型,MAE (BPM),RMSE (BPM),R²,MAPE (%),最大误差 (BPM),中位误差 (BPM),误差标准差,95%置信区间下限,95%置信区间上限,±3BPM准确率 (%),低心率区间MAE,正常心率区间MAE,高心率区间MAE,单样本推理时间 (ms),样本/秒,参数总量,可训练参数,层数,训练时间 (秒),平均每轮时间 (秒),实际训练轮次,最终学习率,最佳验证损失,模型大小 (MB),批次大小,训练样本数,输入形状
TCAN,2.2687549591064453,3.2833471953071975,0.7147338390350342,3.381403535604477,18.239334106445312,1.456634521484375,3.171765542138196,-7.151782989501953,7.203795623779296,75.95137420718817,3.1962728202342987,1.9246328132739965,,117.32455253601074,537.5967881402252,137057,135649,74,10572.256378412247,26.36472912322256,401,3.906250185536919e-06,11.889744758605957,1.8331336975097656,32,7564,"(None, 300, 3)"
ResNet1D,2.4175517559051514,3.6910178005354606,0.639496922492981,3.687949478626251,17.20586395263672,1.2985343933105469,3.6897074870329165,-6.905321884155273,10.039338493347168,72.19873150105708,4.287841588258743,1.7236467223236527,,74.9608850479126,1833.1676261454088,1379521,1373889,55,4307.134090900421,9.445469497588643,456,9.999999974752427e-07,14.751546859741211,15.98647403717041,32,7564,"(None, 300, 3)"
InceptionTime,2.7604877948760986,3.738904560226944,0.6300820112228394,4.093886166810989,16.911094665527344,2.032886505126953,3.7241431633594657,-7.665590858459472,8.342319679260246,65.96194503171247,3.578433707356453,2.4570173070050667,,67.6333498954773,665.6041183526489,574529,571585,97,12501.387209177017,29.20884861957247,428,9.999999974752427e-07,13.27935791015625,7.010454177856445,32,7564,"(None, 300, 3)"
LSTMNet,2.8137588500976562,4.767743749683542,0.39849042892456055,4.361605644226074,17.174781799316406,1.0500869750976562,4.752382141545923,-9.604556751251218,13.491811561584468,73.41437632135307,5.773427397012711,1.71567808787028,,64.065101146698,1111.675481810789,46187,46187,14,6734.144751787186,14.607689266349643,461,1.5625000742147677e-05,20.931442260742188,0.5910243988037109,32,7564,"(None, 300, 3)"
DeepStateSpace,3.2228939533233643,5.389481486786194,0.23138177394866943,4.857039451599121,19.158950805664062,1.6144294738769531,5.203375518829184,-13.599211120605467,16.165716743469236,83.61522198731501,5.171676807105541,2.4998664662457895,,67.49648571014404,921.7094210237778,76129,75937,17,6000.054215669632,16.172652872424884,371,9.999999974752427e-07,27.02553939819336,0.9669189453125,32,7564,"(None, 300, 3)"
N-Beats,4.8649821281433105,6.662067861659724,-0.17445075511932373,7.55394846200943,19.347625732421875,3.043956756591797,6.615253582475148,-10.710128211975096,14.486252403259277,49.63002114164905,10.05215958505869,2.9404628366663834,,64.00129556655884,4242.945376969593,1302114,1302114,73,333.58957076072693,2.1661660439008243,154,3.125000148429535e-05,43.960453033447266,15.178120613098145,32,7564,"(None, 300, 3)"
Transformer,5.084039211273193,6.05460307400816,0.02996349334716797,7.78774619102478,13.755233764648438,3.856414794921875,6.0543451707031135,-7.17337589263916,12.651345634460448,35.517970401691336,9.297066703438759,3.5209444184234178,,69.30803060531616,1307.8829844023921,1183,1183,17,3387.5671911239624,16.208455459923265,209,3.125000148429535e-05,34.27067565917969,0.14171600341796875,32,7564,"(None, 300, 3)"
TFT,5.337046146392822,6.093755321011298,0.017377495765686035,8.164814859628677,13.446601867675781,4.135368347167969,6.092650391125007,-5.2361650466918945,11.878709220886229,16.913319238900634,9.649983003735542,3.736883174509242,,66.89071416854858,453.27613618578806,96397,96397,21,3185.6272251605988,23.084255254786946,138,3.125000148429535e-05,36.209354400634766,1.2333641052246094,32,7564,"(None, 300, 3)"
WaveNet,5.448980331420898,5.967283058649957,0.05774170160293579,8.0923892557621,14.52044677734375,5.393787384033203,5.735271973408397,-8.528183364868164,10.179609107971189,15.380549682875264,7.036845810711384,4.859859181832576,,62.54584074020386,2000.878746184194,39649,39649,35,1093.2552738189697,6.319394646352426,173,7.812500371073838e-06,34.06983184814453,0.6013469696044922,32,7564,"(None, 300, 3)"
