模型名称,分解方法,MAE (BPM),RMSE (BPM),R²,MAPE (%),最大误差 (BPM),中位误差 (BPM),误差标准差,95%置信区间下限 (BPM),95%置信区间上限 (BPM),±3 BPM准确率 (%),低心率 MAE (BPM),正常心率 MAE (BPM),高心率 MAE (BPM),单样本推理时间 (ms),批量推理时间 (秒),每秒处理样本数
ResNet1D,EEMD,1.9988,3.0679,0.7509,3.05,16.5314,1.0974,3.0611,-5.87,8.28,78.7,3.6314,1.3931,,,,
CNN_GRU,EEMD,2.0215,3.8147,0.6149,3.07,17.5666,0.8256,3.7934,-11.23,11.73,85.41,3.5278,1.4626,,,,
InceptionTime,EEMD,2.1682,2.8458,0.7857,3.19,15.3419,1.6833,2.7706,-5.98,5.38,73.26,2.611,2.0039,,,,
TFT,EEMD,2.19,4.2631,0.5191,3.33,16.5655,0.7984,4.2507,-12.38,12.66,84.41,3.9404,1.5406,,,,
TFT,EEMD,2.19,4.2631,0.5191,3.33,16.5655,0.7984,4.2507,-12.38,12.66,84.41,3.9404,1.5406,,,,
DeepStateSpace,EEMD,2.3153,3.7938,0.6191,3.45,19.4798,1.6627,3.4321,-2.7,13.68,91.33,3.3887,1.917,,,,
TCAN,EEMD,2.316,3.0626,0.7518,3.44,12.5627,1.7993,2.7267,-7.01,5.18,72.99,3.1727,1.9981,,,,
TCAN,EEMD,2.316,3.0626,0.7518,3.44,12.5627,1.7993,2.7267,-7.01,5.18,72.99,3.1727,1.9981,,,,
TCN,EEMD,2.5114,3.2177,0.726,3.7,15.5729,2.057,2.906,-7.24,4.3,66.44,3.01,2.3264,,,,
TCN,EEMD,2.5114,3.2177,0.726,3.7,15.5729,2.057,2.906,-7.24,4.3,66.44,3.01,2.3264,,,,
LSTMNet,EEMD,2.8627,4.7484,0.4034,4.39,15.8472,1.142,4.7469,-11.09,12.78,73.31,5.4358,1.908,,,,
CNN_LSTM,EEMD,2.8726,4.6919,0.4175,4.36,17.2034,1.2467,4.6647,-12.44,12.96,75.95,4.8686,2.132,,,,
WaveNet,EEMD,3.4691,3.9644,0.5841,4.98,11.3834,3.3045,2.829,-7.63,4.38,42.81,2.6992,3.7547,,,,
BiLSTM,EEMD,3.736,5.1214,0.3059,5.72,15.1563,2.7424,5.121,-8.67,12.24,53.07,6.8685,2.5738,,,,
MobileNet1D,EEMD,4.1626,5.1866,0.2882,6.1,20.7578,3.555,5.0726,-10.19,9.69,43.02,4.5243,4.0284,,,,
N-Beats,EEMD,4.9654,6.9525,-0.2791,7.73,18.1933,3.001,6.8821,-11.49,15.16,50.0,10.5138,2.9069,,,,
N-Beats,EEMD,4.9654,6.9525,-0.2791,7.73,18.1933,3.001,6.8821,-11.49,15.16,50.0,10.5138,2.9069,,,,
LSTM,EEMD,5.4185,6.0942,0.0172,8.26,13.6005,4.6348,6.0856,-4.85,11.48,16.65,9.4168,3.9351,,,,
MultiscaleLSTM,EEMD,5.5567,6.0906,0.0184,8.37,13.9488,5.5128,6.0167,-6.11,10.98,16.7,8.5247,4.4555,,,,
Transformer,EEMD,5.982,6.2974,-0.0494,8.86,12.282,6.2486,5.9901,-6.92,9.65,10.15,7.4766,5.4275,,,,
Transformer,EEMD,5.982,6.2974,-0.0494,8.86,12.282,6.2486,5.9901,-6.92,9.65,10.15,7.4766,5.4275,,,,
AttentionLSTM,EEMD,6.0409,6.325,-0.0586,8.98,12.3356,5.9896,6.0719,-6.44,10.31,1.16,7.8973,5.3522,,,,
